UserQuery,Intent,question,response
How much is the Samsung Galaxy S21?,PriceInquiry,,
Tell me more about the Samsung Galaxy S21.,ProductDetails,,
Do you have the Samsung Galaxy S21 in stock?,ProductAvailability,,
How much is the Apple iPhone 13?,PriceInquiry,,
Tell me more about the Apple iPhone 13.,ProductDetails,,
Do you have the Apple iPhone 13 in stock?,ProductAvailability,,
How much is the Dell Inspiron Laptop?,PriceInquiry,,
Tell me more about the Dell Inspiron Laptop.,ProductDetails,,
Do you have the Dell Inspiron Laptop in stock?,ProductAvailability,,
How much is the Sony WH-1000XM4 Headphones?,PriceInquiry,,
Tell me more about the Sony WH-1000XM4 Headphones.,ProductDetails,,
Do you have the Sony WH-1000XM4 Headphones in stock?,ProductAvailability,,
How much is the Apple Watch Series 7?,PriceInquiry,,
Tell me more about the Apple Watch Series 7.,ProductDetails,,
Do you have the Apple Watch Series 7 in stock?,ProductAvailability,,
How much is the Sony 55 inch 4K TV?,PriceInquiry,,
Tell me more about the Sony 55 inch 4K TV.,ProductDetails,,
Do you have the Sony 55 inch 4K TV in stock?,ProductAvailability,,
How much is the Nikon D3500 DSLR?,PriceInquiry,,
Tell me more about the Nikon D3500 DSLR.,ProductDetails,,
Do you have the Nikon D3500 DSLR in stock?,ProductAvailability,,
How much is the Amazon Kindle Paperwhite?,PriceInquiry,,
Tell me more about the Amazon Kindle Paperwhite.,ProductDetails,,
Do you have the Amazon Kindle Paperwhite in stock?,ProductAvailability,,
How much is the Apple iPad Air?,PriceInquiry,,
Tell me more about the Apple iPad Air.,ProductDetails,,
Do you have the Apple iPad Air in stock?,ProductAvailability,,
How much is the Logitech G Pro Mouse?,PriceInquiry,,
Tell me more about the Logitech G Pro Mouse.,ProductDetails,,
Do you have the Logitech G Pro Mouse in stock?,ProductAvailability,,
How much is the Samsung Galaxy S21 Variant 1?,PriceInquiry,,
Tell me more about the Samsung Galaxy S21 Variant 1.,ProductDetails,,
Do you have the Samsung Galaxy S21 Variant 1 in stock?,ProductAvailability,,
